类型,大类,等级,期刊简称,期刊全称,出版社,网址
期刊,计算机体系结构/并行与分布计算/存储系统,A,TOCS,ACM Transactions on Computer Systems,ACM,http://dblp.uni-trier.de/db/journals/tocs/
期刊,计算机体系结构/并行与分布计算/存储系统,A,TOS,ACM Transactions on Storage,ACM,http://dblp.uni-trier.de/db/journals/tos/
期刊,计算机体系结构/并行与分布计算/存储系统,A,TCAD,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,IEEE,http://dblp.uni-trier.de/db/journals/tcad/
期刊,计算机体系结构/并行与分布计算/存储系统,A,TC,IEEE Transactions on Computers,IEEE,http://dblp.uni-trier.de/db/journals/tc/index.html
期刊,计算机体系结构/并行与分布计算/存储系统,A,TPDS,IEEE Transactions on Parallel and Distributed Systems,IEEE,http://dblp.uni-trier.de/db/journals/tpds/
期刊,计算机体系结构/并行与分布计算/存储系统,A,TACO,ACM Transactions on Architecture and Code Optimization,ACM,http://dblp.uni-trier.de/db/journals/taco/
期刊,计算机体系结构/并行与分布计算/存储系统,B,TAAS,ACM Transactions on Autonomous and Adaptive Systems,ACM,http://dblp.uni-trier.de/db/journals/taas/
期刊,计算机体系结构/并行与分布计算/存储系统,B,TODAES,ACM Transactions on Design Automation of Electronic Systems,ACM,http://dblp.uni-trier.de/db/journals/todaes/
期刊,计算机体系结构/并行与分布计算/存储系统,B,TECS,ACM Transactions on Embedded Computing Systems,ACM,http://dblp.uni-trier.de/db/journals/tecs/
期刊,计算机体系结构/并行与分布计算/存储系统,B,TRETS,ACM Transactions on Reconfigurable Technology and Systems,ACM,http://dblp.uni-trier.de/db/journals/trets/
期刊,计算机体系结构/并行与分布计算/存储系统,B,TVLSI,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,IEEE,http://dblp.uni-trier.de/db/journals/tvlsi/
期刊,计算机体系结构/并行与分布计算/存储系统,B,JPDC,Journal of Parallel and Distributed Computing,Elsevier,http://dblp.uni-trier.de/db/journals/jpdc/
期刊,计算机体系结构/并行与分布计算/存储系统,B,JSA,Journal of Systems Architecture: Embedded Software Design,Elsevier,http://dblp.uni-trier.de/db/journals/jsa/
期刊,计算机体系结构/并行与分布计算/存储系统,B,TCC,IEEE Transactions on Cloud Computing,IEEE,https://dblp.uni-trier.de/db/journals/tcc/
期刊,计算机体系结构/并行与分布计算/存储系统,C,JETC,ACM Journal on Emerging Technologies in Computing Systems,ACM,http://dblp.uni-trier.de/db/journals/jetc/
期刊,计算机体系结构/并行与分布计算/存储系统,C,DC,Distributed Computing,Springer,http://dblp.uni-trier.de/db/journals/dc/
期刊,计算机体系结构/并行与分布计算/存储系统,C,FGCS,Future Generation Computer Systems,Elsevier,http://dblp.uni-trier.de/db/journals/fgcs
期刊,计算机体系结构/并行与分布计算/存储系统,C,Integration,"Integration, the VLSI Journal",Elsevier,http://dblp.uni-trier.de/db/journals/integration
期刊,计算机体系结构/并行与分布计算/存储系统,C,JETTA,Journal of Electronic Testing-Theory and Applications,Springer,https://dblp.org/db/journals/et/index.html
期刊,计算机体系结构/并行与分布计算/存储系统,C,JGC,Journal of Grid computing,Springer,https://dblp.uni-trier.de/db/journals/grid/
期刊,计算机体系结构/并行与分布计算/存储系统,C,RTS,Real-Time Systems,Springer,http://dblp.uni-trier.de/db/journals/rts/
期刊,计算机体系结构/并行与分布计算/存储系统,C,TJSC,The Journal of Supercomputing,Springer,http://dblp.uni-trier.de/db/journals/tjs/
期刊,计算机体系结构/并行与分布计算/存储系统,C,TCASI,IEEE Transactions on Circuits and Systems I: Regular Papers,IEEE,https://dblp.org/db/journals/tcasI/index.html
期刊,计算机体系结构/并行与分布计算/存储系统,C,CCF-THPC,CCF Transactions on High Performance Computing,CCF,https://dblp.org/db/journals/ccfthpc/index.html
期刊,计算机体系结构/并行与分布计算/存储系统,C,TSUSC,IEEE Transactions on Sustainable Computing,IEEE,https://dblp.org/db/journals/tsusc/index.html
会议,计算机体系结构/并行与分布计算/存储系统,A,PPoPP,ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming,ACM,http://dblp.uni-trier.de/db/conf/ppopp/
会议,计算机体系结构/并行与分布计算/存储系统,A,FAST,USENIX Conference on File and Storage Technologies,USENIX,http://dblp.uni-trier.de/db/conf/fast/
会议,计算机体系结构/并行与分布计算/存储系统,A,DAC,Design Automation Conference,ACM,https://dblp.uni-trier.de/db/conf/dac/
会议,计算机体系结构/并行与分布计算/存储系统,A,HPCA,IEEE International Symposium on High Performance Computer Architecture,IEEE,http://dblp.uni-trier.de/db/conf/hpca/
会议,计算机体系结构/并行与分布计算/存储系统,A,MICRO,IEEE/ACM International Symposium on Microarchitecture,IEEE/ACM,https://dblp.uni-trier.de/db/conf/micro/index.html
会议,计算机体系结构/并行与分布计算/存储系统,A,SC,"International Conference for High Performance Computing, Networking, Storage, and Analysis",IEEE,http://dblp.uni-trier.de/db/conf/sc/
会议,计算机体系结构/并行与分布计算/存储系统,A,ASPLOS,International Conference on Architectural Support for Programming Languages and Operating Systems,ACM,http://dblp.uni-trier.de/db/conf/asplos/
会议,计算机体系结构/并行与分布计算/存储系统,A,ISCA,International Symposium on Computer Architecture,IEEE/ACM,http://dblp.uni-trier.de/db/conf/isca/
会议,计算机体系结构/并行与分布计算/存储系统,A,ACM SIGOPS ATC(原 USENIX ATC),ACM SIGOPS Annual Technical Conference,ACM,http://dblp.uni-trier.de/db/conf/usenix/index.html
会议,计算机体系结构/并行与分布计算/存储系统,A,EuroSys,European Conference on Computer Systems,ACM,http://dblp.uni-trier.de/db/conf/eurosys/
会议,计算机体系结构/并行与分布计算/存储系统,A,HPDC,The International ACM Symposium on High-Performance Parallel and Distributed Computing,IEEE,http://dblp.uni-trier.de/db/conf/hpdc/
会议,计算机体系结构/并行与分布计算/存储系统,B,SoCC,ACM Symposium on Cloud Computing,ACM,http://dblp.uni-trier.de/db/conf/cloud/
会议,计算机体系结构/并行与分布计算/存储系统,B,SPAA,ACM Symposium on Parallelism in Algorithms and Architectures,ACM,http://dblp.uni-trier.de/db/conf/spaa/
会议,计算机体系结构/并行与分布计算/存储系统,B,PODC,ACM Symposium on Principles of Distributed Computing,ACM,http://dblp.uni-trier.de/db/conf/podc/
会议,计算机体系结构/并行与分布计算/存储系统,B,FPGA,ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,ACM,http://dblp.uni-trier.de/db/conf/fpga/
会议,计算机体系结构/并行与分布计算/存储系统,B,CGO,The International Symposium on Code Generation and Optimization,IEEE/ACM,http://dblp.uni-trier.de/db/conf/cgo/
会议,计算机体系结构/并行与分布计算/存储系统,B,DATE,"Design, Automation & Test in Europe",IEEE/ACM,http://dblp.uni-trier.de/db/conf/date/
会议,计算机体系结构/并行与分布计算/存储系统,B,HOT CHIPS,Hot Chips: A Symposium on High Performance Chips,IEEE,https://dblp.org/db/conf/hotchips/index.html
会议,计算机体系结构/并行与分布计算/存储系统,B,CLUSTER,IEEE International Conference on Cluster Computing,IEEE,https://dblp.uni-trier.de/db/conf/cluster/
会议,计算机体系结构/并行与分布计算/存储系统,B,ICCD,International Conference on Computer Design,IEEE,http://dblp.uni-trier.de/db/conf/iccd/
会议,计算机体系结构/并行与分布计算/存储系统,B,ICCAD,International Conference on Computer-Aided Design,IEEE/ACM,http://dblp.uni-trier.de/db/conf/iccad/
会议,计算机体系结构/并行与分布计算/存储系统,B,ICDCS,IEEE International Conference on Distributed Computing Systems,IEEE,http://dblp.uni-trier.de/db/conf/icdcs/
会议,计算机体系结构/并行与分布计算/存储系统,B,CODES+ ISSS,International Conference on Hardware/Software Co-design and System Synthesis,IEEE/ACM,https://dblp.uni-trier.de/db/conf/codesisss/index.html
会议,计算机体系结构/并行与分布计算/存储系统,B,HiPEAC,International Conference on High Performance and Embedded Architectures and Compilers,ACM,http://dblp.uni-trier.de/db/conf/hipeac/
会议,计算机体系结构/并行与分布计算/存储系统,B,SIG-METRICS,International Conference on Measurement and Modeling of Computer Systems,ACM,http://dblp.uni-trier.de/db/conf/sigmetrics/
会议,计算机体系结构/并行与分布计算/存储系统,B,PACT,International Conference on Parallel Architectures and Compilation Techniques,IEEE/ACM,http://dblp.uni-trier.de/db/conf/IEEEpact/
会议,计算机体系结构/并行与分布计算/存储系统,B,ICPP,International Conference on Parallel Processing,ACM,http://dblp.uni-trier.de/db/conf/icpp/
会议,计算机体系结构/并行与分布计算/存储系统,B,ICS,International Conference on Supercomputing,ACM,http://dblp.uni-trier.de/db/conf/ics/
会议,计算机体系结构/并行与分布计算/存储系统,B,VEE,International Conference on Virtual Execution Environments,ACM,http://dblp.uni-trier.de/db/conf/vee/
会议,计算机体系结构/并行与分布计算/存储系统,B,IPDPS,IEEE International Parallel & Distributed Processing Symposium,IEEE,http://dblp.uni-trier.de/db/conf/ipps/
会议,计算机体系结构/并行与分布计算/存储系统,B,Performance,"International Symposium on Computer Performance, Modeling, Measurements and Evaluation",ACM,http://dblp.uni-trier.de/db/conf/performance/
会议,计算机体系结构/并行与分布计算/存储系统,B,ITC,International Test Conference,IEEE,http://dblp.uni-trier.de/db/conf/itc/
会议,计算机体系结构/并行与分布计算/存储系统,B,LISA,Large Installation System Administration Conference,USENIX,http://dblp.uni-trier.de/db/conf/lisa/
会议,计算机体系结构/并行与分布计算/存储系统,B,MSST,Mass Storage Systems and Technologies,IEEE,http://dblp.uni-trier.de/db/conf/mss/
会议,计算机体系结构/并行与分布计算/存储系统,B,RTAS,IEEE Real-Time and Embedded Technology and Applications Symposium,IEEE,http://dblp.uni-trier.de/db/conf/rtas/
会议,计算机体系结构/并行与分布计算/存储系统,B,Euro-Par,European Conference on Parallel and Distributed Computing Springer,Springer,http://dblp.uni-trier.de/db/conf/europar/
会议,计算机体系结构/并行与分布计算/存储系统,B,ISCAS,IEEE International Symposium on Circuits and Systems,IEEE,http://dblp.uni-trier.de/db/conf/hpdc/
会议,计算机体系结构/并行与分布计算/存储系统,C,CF,ACM International Conference on Computing Frontiers,ACM,http://dblp.uni-trier.de/db/conf/cf
会议,计算机体系结构/并行与分布计算/存储系统,C,SYSTOR,ACM International Systems and Storage Conference,ACM,http://dblp.uni-trier.de/db/conf/systor/index.html
会议,计算机体系结构/并行与分布计算/存储系统,C,NOCS,ACM/IEEE International Symposium on Networks-on-Chip,IEEE/ACM,http://dblp.uni-trier.de/db/conf/nocs
会议,计算机体系结构/并行与分布计算/存储系统,C,ASAP,"IEEE International Conference on Application-Specific Systems, Architectures, and Processors",IEEE,http://dblp.uni-trier.de/db/conf/asap
会议,计算机体系结构/并行与分布计算/存储系统,C,ASP-DAC,Asia and South Pacific Design Automation Conference,IEEE/ACM,http://dblp.uni-trier.de/db/conf/aspdac
会议,计算机体系结构/并行与分布计算/存储系统,C,ETS,IEEE European Test Symposium,IEEE,http://dblp.uni-trier.de/db/conf/ets/
会议,计算机体系结构/并行与分布计算/存储系统,C,FPL,International Conference on Field-Programmable Logic and Applications,IEEE,http://dblp.uni-trier.de/db/conf/fpl/
会议,计算机体系结构/并行与分布计算/存储系统,C,FCCM,IEEE Symposium on Field-Programmable Custom Computing Machines,IEEE,http://dblp.uni-trier.de/db/conf/fccm/
会议,计算机体系结构/并行与分布计算/存储系统,C,GLSVLSI,Great Lakes Symposium on VLSI,IEEE/ACM,http://dblp.uni-trier.de/db/conf/glvlsi/
会议,计算机体系结构/并行与分布计算/存储系统,C,ATS,IEEE Asian Test Symposium,IEEE,http://dblp.uni-trier.de/db/conf/ats/
会议,计算机体系结构/并行与分布计算/存储系统,C,HPCC,IEEE International Conference on High Performance Computing and Communications,IEEE,http://dblp.uni-trier.de/db/conf/hpcc/
会议,计算机体系结构/并行与分布计算/存储系统,C,HiPC,"IEEE International Conference on High Performance Computing, Data and Analytics",IEEE/ACM,http://dblp.uni-trier.de/db/conf/hipc/index.html
会议,计算机体系结构/并行与分布计算/存储系统,C,MASCOTS,"International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",IEEE,http://dblp.uni-trier.de/db/conf/mascots/
会议,计算机体系结构/并行与分布计算/存储系统,C,ISPA,IEEE International Symposium on Parallel and Distributed Processing with Applications,IEEE,http://dblp.uni-trier.de/db/conf/sigmetrics/
会议,计算机体系结构/并行与分布计算/存储系统,C,CCGRID,"IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",IEEE/ACM,http://dblp.uni-trier.de/db/conf/IEEEpact/
会议,计算机体系结构/并行与分布计算/存储系统,C,NPC,IFIP International Conference on Network and Parallel Computing,Springer,http://dblp.uni-trier.de/db/conf/icpp/
会议,计算机体系结构/并行与分布计算/存储系统,C,ICA3PP,International Conference on Algorithms and Architectures for Parallel Processing,IEEE,http://dblp.uni-trier.de/db/conf/ics/
会议,计算机体系结构/并行与分布计算/存储系统,C,CASES,"International Conference on Compilers, Architectures, and Synthesis for Embedded Systems",ACM,http://dblp.uni-trier.de/db/conf/vee/
会议,计算机体系结构/并行与分布计算/存储系统,C,FPT,International Conference on Field-Programmable Technology,IEEE,http://dblp.uni-trier.de/db/conf/ipps/
会议,计算机体系结构/并行与分布计算/存储系统,C,ICPADS,International Conference on Parallel and Distributed Systems,IEEE,http://dblp.uni-trier.de/db/conf/performance/
会议,计算机体系结构/并行与分布计算/存储系统,C,ISLPED,International Symposium on Low Power Electronics and Design,IEEE/ACM,http://dblp.uni-trier.de/db/conf/itc/
会议,计算机体系结构/并行与分布计算/存储系统,C,ISPD,International Symposium on Physical Design,ACM,http://dblp.uni-trier.de/db/conf/lisa/
会议,计算机体系结构/并行与分布计算/存储系统,C,HOTI,IEEE Symposium on High-Performance Interconnects,IEEE,http://dblp.uni-trier.de/db/conf/mss/
会议,计算机体系结构/并行与分布计算/存储系统,C,VTS,IEEE VLSI Test Symposium,IEEE,http://dblp.uni-trier.de/db/conf/rtas/
会议,计算机体系结构/并行与分布计算/存储系统,C,ITC-Asia,International Test Conference in Asia,IEEE,http://dblp.uni-trier.de/db/conf/europar/
会议,计算机体系结构/并行与分布计算/存储系统,C,SEC,ACM/IEEE Symposium on Edge Computing,IEEE/ACM,https://dblp.uni-trier.de/db/conf/ieeesec/index.html
会议,计算机体系结构/并行与分布计算/存储系统,C,NAS,"International Conference on Networking, Architecture and Storages",IEEE,https://dblp.uni-trier.de/db/conf/nas/index.html
会议,计算机体系结构/并行与分布计算/存储系统,C,HotStorage,HotStorage,USENIX Association,https://dblp.uni-trier.de/db/conf/hotstorage/index.html
会议,计算机体系结构/并行与分布计算/存储系统,C,APPT,International Symposium on Advanced Parallel Processing Technology,Springer,https://dblp.uni-trier.de/db/conf/appt/index.html
期刊,计算机网络,A,JSAC,IEEE Journal on Selected Areas in Communications,IEEE,http://dblp.uni-trier.de/db/journals/jsac/
期刊,计算机网络,A,TMC,IEEE Transactions on Mobile Computing,IEEE,http://dblp.uni-trier.de/db/journals/tmc/
期刊,计算机网络,A,TON,IEEE/ACM Transactions on Networking,IEEE/ACM,http://dblp.uni-trier.de/db/journals/ton/
期刊,计算机网络,B,TOIT,ACM Transactions on Internet Technology,ACM,http://dblp.uni-trier.de/db/journals/toit/
期刊,计算机网络,B,TOMM,"ACM Transactions on Multimedia Computing, Communications and Applications",ACM,http://dblp.uni-trier.de/db/journals/tomccap/
期刊,计算机网络,B,TOSN,ACM Transactions on Sensor Networks,ACM,http://dblp.uni-trier.de/db/journals/tosn/
期刊,计算机网络,B,CN,Computer Networks,Elsevier,http://dblp.uni-trier.de/db/journals/cn/
期刊,计算机网络,B,TCOM,IEEE Transactions on Communications,IEEE,http://dblp.uni-trier.de/db/journals/tcom/
期刊,计算机网络,B,TWC,IEEE Transactions on Wireless Communications,IEEE,http://dblp.uni-trier.de/db/journals/twc/
期刊,计算机网络,C,CC,Computer Communications,Elsevier,http://dblp.uni-trier.de/db/journals/comcom/
期刊,计算机网络,C,TNSM,IEEE Transactions on Network and Service Management,IEEE,http://dblp.uni-trier.de/db/journals/tnsm/
期刊,计算机网络,C,JNCA,Journal of Network and Computer Applications,Elsevier,http://dblp.uni-trier.de/db/journals/jnca/
期刊,计算机网络,C,MONET,Mobile Networks and Applications,Springer,http://dblp.uni-trier.de/db/journals/monet/
期刊,计算机网络,C,PPNA,Peer-to-Peer Networking and Applications,Springer,http://dblp.uni-trier.de/db/journals/ppna/
期刊,计算机网络,C,WCMC,Wireless Communications and Mobile Computing,Wiley,http://dblp.uni-trier.de/db/journals/wicomm/
期刊,计算机网络,C,IOT,IEEE Internet of Things Journal,IEEE,https://dblp.org/db/journals/iotj/index.html
期刊,计算机网络,C,TIOT,ACM Transactions on Internet of Things,ACM,https://dblp.uni-trier.de/db/journals/tiot/index.html
会议,计算机网络,A,SIGCOMM,"ACM International Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",ACM,http://dblp.uni-trier.de/db/conf/sigcomm/index.html
会议,计算机网络,A,MobiCom,ACM International Conference on Mobile Computing and Networking,ACM,http://dblp.uni-trier.de/db/conf/mobicom/
会议,计算机网络,A,INFOCOM,IEEE International Conference on Computer Communications,IEEE,http://dblp.uni-trier.de/db/conf/infocom/
会议,计算机网络,A,NSDI,Symposium on Network System Design and Implementation,USENIX,http://dblp.uni-trier.de/db/conf/nsdi/
会议,计算机网络,B,SenSys,ACM Conference on Embedded Networked Sensor Systems,ACM,http://dblp.uni-trier.de/db/conf/sensys/
会议,计算机网络,B,CoNEXT,ACM International Conference on Emerging Networking Experiments and Technologies,ACM,http://dblp.uni-trier.de/db/conf/conext/
会议,计算机网络,B,SECON,"IEEE International Conference on Sensing, Communication, and Networking",IEEE,http://dblp.uni-trier.de/db/conf/secon/
会议,计算机网络,B,IPSN,International Conference on Information Processing in Sensor Networks,IEEE/ACM,http://dblp.uni-trier.de/db/conf/ipsn/
会议,计算机网络,B,MobiSys,"ACM International Conference on Mobile Systems, Applications, and Services",ACM,http://dblp.uni-trier.de/db/conf/mobisys/
会议,计算机网络,B,ICNP,IEEE International Conference on Network Protocols,IEEE,http://dblp.uni-trier.de/db/conf/icnp/
会议,计算机网络,B,MobiHoc,"International Symposium on Theory, Algorithmic Foundations, and Protocol Design for Mobile Networks and Mobile Computing",IEEE/ACM,http://dblp.uni-trier.de/db/conf/mobihoc/
会议,计算机网络,B,NOSSDAV,International Workshop on Network and Operating System Support for Digital Audio and Video,ACM,http://dblp.uni-trier.de/db/conf/nossdav/
会议,计算机网络,B,IWQoS,IEEE/ACM International Workshop on Quality of Service,IEEE,http://dblp.uni-trier.de/db/conf/iwqos/
会议,计算机网络,B,IMC,ACM Internet Measurement Conference,ACM/USENIX,http://dblp.uni-trier.de/db/conf/imc/
会议,计算机网络,C,ANCS,ACM/IEEE Symposium on Architectures for Networking and Communication Systems,IEEE/ACM,http://dblp.uni-trier.de/db/conf/ancs/
会议,计算机网络,C,APNOMS,Asia-Pacific Network Operations and Management Symposium,IFIP/IEEE,http://dblp.uni-trier.de/db/conf/apnoms/
会议,计算机网络,C,FORTE,"International Conference on Formal Techniques for Distributed Objects, Components, and Systems",Springer,http://dblp.uni-trier.de/db/conf/forte/
会议,计算机网络,C,LCN,IEEE Conference on Local Computer Networks,IEEE,http://dblp.uni-trier.de/db/conf/lcn/
会议,计算机网络,C,GLOBECOM,IEEE Global Communications Conference,IEEE,http://dblp.uni-trier.de/db/conf/globecom/
会议,计算机网络,C,ICC,IEEE International Conference on Communications,IEEE,http://dblp.uni-trier.de/db/conf/icc/
会议,计算机网络,C,ICCCN,IEEE International Conference on Computer Communications and Networks,IEEE,http://dblp.uni-trier.de/db/conf/icccn/
会议,计算机网络,C,MASS,IEEE International Conference on Mobile Adhoc and Sensor Systems,IEEE,http://dblp.uni-trier.de/db/conf/mass/index.html
会议,计算机网络,C,P2P,IEEE International Conference on Peer-to-Peer Computing,IEEE,http://dblp.uni-trier.de/db/conf/p2p/
会议,计算机网络,C,IPCCC,IEEE International Performance Computing and Communications Conference,IEEE,http://dblp.uni-trier.de/db/conf/ipccc/
会议,计算机网络,C,WoWMoM,"IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks",IEEE,http://dblp.uni-trier.de/db/conf/wowmom/
会议,计算机网络,C,ISCC,IEEE Symposium on Computers and Communications,IEEE,http://dblp.uni-trier.de/db/conf/iscc/
会议,计算机网络,C,WCNC,IEEE Wireless Communications and Networking Conference,IEEE,http://dblp.uni-trier.de/db/conf/wcnc/
会议,计算机网络,C,Networking,IFIP International Conferences on Networking,IFIP,http://dblp.uni-trier.de/db/conf/networking/index.html
会议,计算机网络,C,IM,IFIP/IEEE International Symposium on Integrated Network Management,IFIP/IEEE,http://dblp.uni-trier.de/db/conf/im/index.html
会议,计算机网络,C,MSN,"International Conference on Mobility, Sensing and Networking",IEEE,https://dblp.uni-trier.de/db/conf/msn/
会议,计算机网络,C,MSWiM,"International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems",ACM,http://dblp.uni-trier.de/db/conf/mswim/
会议,计算机网络,C,WASA,The International Conference on Wireless Artificial Intelligent Computing Systems and Applications,Springer,http://dblp.uni-trier.de/db/conf/wasa/
会议,计算机网络,C,HotNets,ACM The Workshop on Hot Topics in Networks,ACM,http://dblp.uni-trier.de/db/conf/hotnets/
会议,计算机网络,C,APNet,Asia-Pacific Workshop on Networking,ACM,https://dblp.org/db/conf/apnet/index.html
期刊,网络与信息安全,A,TDSC,IEEE Transactions on Dependable and Secure Computing,IEEE,http://dblp.uni-trier.de/db/journals/tdsc/
期刊,网络与信息安全,A,TIFS,IEEE Transactions on Information Forensics and Security,IEEE,http://dblp.uni-trier.de/db/journals/tifs/
期刊,网络与信息安全,B,TOPS,ACM Transactions on Privacy and Security,ACM,https://dblp.org/db/journals/tissec/index.html
期刊,网络与信息安全,B,JCS,Journal of Computer Security,IOS Press,http://dblp.uni-trier.de/db/journals/jcs/
期刊,网络与信息安全,B,Cybersecurity,Cybersecurity,中国科学院信息工程研究所/科学出版社,https://dblp.uni-trier.de/db/journals/cybersec/index.html
期刊,网络与信息安全,C,CLSR,Computer Law & Security Review,Elsevier,https://dblp.org/db/journals/clsr/index.html
期刊,网络与信息安全,C,IMCS,Information and Computer Security,Emerald,http://dblp.uni-trier.de/db/journals/imcs/
期刊,网络与信息安全,C,IJICS,International Journal of Information and Computer Security,Inderscience,http://dblp.uni-trier.de/db/journals/ijics/
